,points,projected,bench points,bench projected,top scorer,top bench scorer,double digits,zeroes,opponent,opponent score,opponent projected,line,over/under,favorite,win
1,81.9,95.9,60.0,53.6,7.8,7.6,4.0,0.0,3.0,106.30000000000001,99.80000000000001,-3.9000000000000057,195.70000000000002,True,False
2,76.5,90.4,41.39999999999999,44.8,8,4.4,3.0,0.0,4.0,97.1,102.99999999999999,-12.59999999999998,193.39999999999998,True,False
3,106.30000000000001,99.80000000000001,40.5,47.8,9.7,6.1,5.0,1.0,1.0,81.9,95.9,3.9000000000000057,195.70000000000002,False,True
4,97.1,102.99999999999999,44.6,45.6,9.2,5.1,5.0,0.0,2.0,76.5,90.4,12.59999999999998,193.39999999999998,False,True
7,96.50000000000001,102.80000000000001,39.4,34.2,8.7,4,4.0,0.0,8.0,114.9,100.99999999999999,1.8000000000000256,203.8,False,False
8,114.9,100.99999999999999,48.4,49.9,7.8,6.9,4.0,0.0,7.0,96.50000000000001,102.80000000000001,-1.8000000000000256,203.8,True,True
9,79.7,93.29999999999998,98.8,61.3,9.1,9.4,3.0,0.0,12.0,119.79999999999998,97.5,-4.200000000000017,190.79999999999998,True,False
10,115.19999999999999,97.49999999999999,56.4,54.800000000000004,9,6.5,5.0,0.0,13.0,104.89999999999999,87.9,9.59999999999998,185.39999999999998,False,True
12,119.79999999999998,97.5,36.8,36.99999999999999,7.3,9.9,5.0,0.0,9.0,79.7,93.29999999999998,4.200000000000017,190.79999999999998,False,True
13,104.89999999999999,87.9,32.3,33.8,7.9,7.5,3.0,0.0,10.0,115.19999999999999,97.49999999999999,-9.59999999999998,185.39999999999998,True,False
14,116.0,99.9,18.7,29.9,9.6,8,4.0,0.0,15.0,104.39999999999999,93.60000000000001,6.299999999999997,193.5,False,True
15,104.39999999999999,93.60000000000001,25.5,31.2,9,7.1,6.0,0.0,14.0,116.0,99.9,-6.299999999999997,193.5,True,False
